service_id,date,exception_type
401,20250106,1
501,20250106,1
4401,20250106,1
401,20250107,1
501,20250107,1
4501,20250107,1
401,20250108,1
501,20250108,1
4401,20250108,1
401,20250109,1
501,20250109,1
4401,20250109,1
401,20250110,1
501,20250110,1
4501,20250110,1
401,20250113,1
501,20250113,1
4401,20250113,1
401,20250114,1
501,20250114,1
4501,20250114,1
401,20250115,1
501,20250115,1
4401,20250115,1
401,20250116,1
501,20250116,1
4401,20250116,1
401,20250117,1
501,20250117,1
4501,20250117,1
401,20250120,1
501,20250120,1
4401,20250120,1
401,20250121,1
501,20250121,1
4501,20250121,1
401,20250122,1
501,20250122,1
4401,20250122,1
401,20250123,1
501,20250123,1
4401,20250123,1
401,20250124,1
501,20250124,1
4501,20250124,1
401,20250127,1
501,20250127,1
4401,20250127,1
401,20250128,1
501,20250128,1
4501,20250128,1
401,20250129,1
501,20250129,1
4401,20250129,1
401,20250130,1
501,20250130,1
4401,20250130,1
401,20250131,1
501,20250131,1
4501,20250131,1
401,20250203,1
501,20250203,1
4401,20250203,1
401,20250204,1
501,20250204,1
4501,20250204,1
401,20250205,1
501,20250205,1
4401,20250205,1
401,20250206,1
501,20250206,1
4401,20250206,1
401,20250207,1
501,20250207,1
4501,20250207,1
401,20250210,1
501,20250210,1
4401,20250210,1
401,20250211,1
501,20250211,1
4501,20250211,1
401,20250212,1
501,20250212,1
4401,20250212,1
401,20250213,1
501,20250213,1
4401,20250213,1
401,20250214,1
501,20250214,1
4501,20250214,1
