route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
73605,1,1,LINE 1 (YONGE-UNIVERSITY),,1,,D5C82B,000000
73382,1,10,VAN HORNE,,3,,FF0000,FFFFFF
73383,1,100,FLEMINGDON PARK,,3,,FF0000,FFFFFF
73384,1,101,DOWNSVIEW PARK,,3,,FF0000,FFFFFF
73385,1,102,MARKHAM RD.,,3,,FF0000,FFFFFF
73386,1,104,FAYWOOD,,3,,FF0000,FFFFFF
73387,1,105,DUFFERIN NORTH,,3,,FF0000,FFFFFF
73388,1,106,SENTINEL,,3,,FF0000,FFFFFF
73389,1,107,YORK UNIVERSITY HEIGHTS,,3,,FF0000,FFFFFF
73390,1,108,DRIFTWOOD,,3,,FF0000,FFFFFF
73391,1,109,RANEE,,3,,FF0000,FFFFFF
73392,1,11,BAYVIEW,,3,,FF0000,FFFFFF
73393,1,110,ISLINGTON SOUTH,,3,,FF0000,FFFFFF
73394,1,111,EAST MALL,,3,,FF0000,FFFFFF
73395,1,112,WEST MALL,,3,,FF0000,FFFFFF
73396,1,113,DANFORTH,,3,,FF0000,FFFFFF
73397,1,114,QUEENS QUAY EAST,,3,,FF0000,FFFFFF
73398,1,115,SILVER HILLS,,3,,FF0000,FFFFFF
73399,1,116,MORNINGSIDE,,3,,FF0000,FFFFFF
73400,1,117,BIRCHMOUNT SOUTH,,3,,FF0000,FFFFFF
73401,1,118,THISTLE DOWN,,3,,FF0000,FFFFFF
73402,1,119,TORBARRIE,,3,,FF0000,FFFFFF
73403,1,12,KINGSTON ROAD,,3,,FF0000,FFFFFF
73404,1,120,CALVINGTON,,3,,FF0000,FFFFFF
73405,1,121,ESPLANADE-RIVER,,3,,FF0000,FFFFFF
73406,1,122,GRAYDON HALL,,3,,FF0000,FFFFFF
73407,1,123,SHERWAY,,3,,FF0000,FFFFFF
73408,1,124,SUNNYBROOK,,3,,FF0000,FFFFFF
73409,1,125,DREWRY,,3,,FF0000,FFFFFF
73410,1,126,CHRISTIE,,3,,FF0000,FFFFFF
73411,1,127,DAVENPORT,,3,,FF0000,FFFFFF
73412,1,128,STANLEY GREENE,,3,,FF0000,FFFFFF
73413,1,129,MCCOWAN NORTH,,3,,FF0000,FFFFFF
73414,1,13,AVENUE ROAD,,3,,FF0000,FFFFFF
73415,1,130,MIDDLEFIELD,,3,,FF0000,FFFFFF
73416,1,131,NUGGET,,3,,FF0000,FFFFFF
73417,1,132,MILNER,,3,,FF0000,FFFFFF
73418,1,133,NEILSON,,3,,FF0000,FFFFFF
73419,1,134,PROGRESS,,3,,FF0000,FFFFFF
73420,1,135,GERRARD,,3,,FF0000,FFFFFF
73421,1,14,GLENCAIRN,,3,,FF0000,FFFFFF
73422,1,149,ETOBICOKE-BLOOR,,3,,FF0000,FFFFFF
73423,1,15,EVANS,,3,,FF0000,FFFFFF
73424,1,154,CURRAN HALL,,3,,FF0000,FFFFFF
73425,1,16,McCOWAN,,3,,FF0000,FFFFFF
73426,1,160,BATHURST NORTH,,3,,FF0000,FFFFFF
73427,1,161,ROGERS ROAD,,3,,FF0000,FFFFFF
73428,1,162,LAWRENCE-DONWAY,,3,,FF0000,FFFFFF
73429,1,165,WESTON RD. NORTH,,3,,FF0000,FFFFFF
73430,1,167,PHARMACY NORTH,,3,,FF0000,FFFFFF
73431,1,168,SYMINGTON,,3,,FF0000,FFFFFF
73432,1,169,HUNTINGWOOD,,3,,FF0000,FFFFFF
73433,1,17,BIRCHMOUNT,,3,,FF0000,FFFFFF
73434,1,171,MOUNT DENNIS,,3,,FF0000,FFFFFF
73435,1,184,ANCASTER PARK,,3,,FF0000,FFFFFF
73436,1,185,SHEPPARD CENTRAL,,3,,FF0000,FFFFFF
73437,1,189,STOCKYARDS,,3,,FF0000,FFFFFF
73438,1,19,BAY,,3,,FF0000,FFFFFF
73606,1,2,LINE 2 (BLOOR - DANFORTH),,1,,008000,FFFFFF
73439,1,20,CLIFFSIDE,,3,,FF0000,FFFFFF
73440,1,21,BRIMLEY,,3,,FF0000,FFFFFF
73441,1,22,COXWELL,,3,,FF0000,FFFFFF
73442,1,23,DAWES,,3,,FF0000,FFFFFF
73443,1,24,VICTORIA PARK,,3,,FF0000,FFFFFF
73444,1,25,DON MILLS,,3,,FF0000,FFFFFF
73445,1,26,DUPONT,,3,,FF0000,FFFFFF
73446,1,28,BAYVIEW SOUTH,,3,,FF0000,FFFFFF
73447,1,29,DUFFERIN,,3,,FF0000,FFFFFF
73448,1,30,HIGH PARK NORTH,,3,,FF0000,FFFFFF
73449,1,300,BLOOR-DANFORTH NIGHT BUS,,3,,0000FF,FFFFFF
73450,1,301,QUEEN,,0,,0000FF,FFFFFF
73451,1,302,KINGSTON RD-McCOWAN NIGHT BUS,,3,,0000FF,FFFFFF
73452,1,303,KINGSTON RD.,,0,,0000FF,FFFFFF
73453,1,304,KING,,0,,0000FF,FFFFFF
73454,1,305,DUNDAS,,0,,0000FF,FFFFFF
73455,1,306,CARLTON,,0,,0000FF,FFFFFF
73456,1,307,BATHURST NIGHT BUS,,3,,0000FF,FFFFFF
73457,1,31,GREENWOOD,,3,,FF0000,FFFFFF
73458,1,310,SPADINA,,0,,0000FF,FFFFFF
73459,1,312,ST.CLAIR,,0,,0000FF,FFFFFF
73460,1,315,EVANS - BROWN'S LINE NIGHT BUS,,3,,0000FF,FFFFFF
73461,1,32,EGLINTON WEST,,3,,FF0000,FFFFFF
73462,1,320,YONGE NIGHT BUS,,3,,0000FF,FFFFFF
73463,1,322,COXWELL NIGHT BUS,,3,,0000FF,FFFFFF
73464,1,324,VICTORIA PARK NIGHT BUS,,3,,0000FF,FFFFFF
73465,1,325,DON MILLS NIGHT BUS,,3,,0000FF,FFFFFF
73466,1,329,DUFFERIN NIGHT BUS,,3,,0000FF,FFFFFF
